"Description: ","Annual sum of daily precipitation >= 1.0 mm"
"Station: ","Vercelli_94_24"
"Latitude: ","0"
"Longitude: ","0"
"Climpact_version: ","3.3"
"Date_of_calculation: ","2025-06-20"
time, prcptot, standardised values (using all years)
1994, 910.2, 0.514519885493187
1995, 869.8, 0.343930560467345
1996, 911.8, 0.521275898365497
1997, 510, -1.17532783419349
1998, 667.2, -0.511549569488981
1999, 679.4, -0.460034971337613
2000, -99.9, -99.9
2001, 497, -1.23022043878102
2002, 1172, 1.619972491725
2003, -99.9, -99.9
2004, 682.2, -0.448211948811069
2005, 602.2, -0.786012592426598
2006, 651, -0.579954199821126
2007, 602, -0.786857094035637
2008, 1091, 1.27794934006428
2009, 862.4, 0.312684000932908
2010, 1183.8, 1.66979808665829
2011, 755.2, -0.139968861511899
2012, 753.8, -0.145880372775172
2013, 934.2, 0.615860078577846
2014, 1376.6, 2.48389763777172
2015, 700.2, -0.372206803997575
2016, 854.6, 0.279748438180395
2017, 375.8, -1.74198841385854
2018, 854.4, 0.278903936571356
2019, 855, 0.281437441398472
2020, 781.8, -0.0276501475097366
2021, 585.7, -0.8556839751723
2022, 409.2, -1.60095664514906
2023, 658.6, -0.54786313867765
2024, 1075, 1.21038921134118
